2014-10-30,1582,1330,2015-03-11,918,50,2013-12-24,252,34,2014-10-30,1646,2564,2014-09-02,60,586,2014-05-29,1064,72,2015-03-12,72,6,2014-04-30,1996,856,2015-02-11,4286,11744,2015-01-20,222,28,2015-03-19,280,1000,2014-06-03,20,0,2015-01-07,1524,194,2015-02-13,1050,546,2014-11-25,732,1750,2015-02-03,20632,7168,2014-02-18,27512,8102,2014-01-28,17938,3646
2014-10-29,7762,13702,2015-03-10,1038,1056,2013-12-23,5030,762,2014-10-29,2312,4692,2014-08-29,170,20,2014-05-28,1696,440,2015-03-11,214,206,2014-04-29,308,3132,2015-02-10,2680,1800,2015-01-16,478,120,2015-03-18,90,0,2014-06-02,64,52,2015-01-06,504,320,2015-02-12,1042,382,2014-11-24,1608,896,2015-02-02,4242,1646,2014-02-14,6376,3160,2014-01-27,29548,19644
2014-10-28,5694,61430,2015-03-09,3392,1578,2013-12-20,1470,220,2014-10-28,2670,2908,2014-08-28,46,150,2014-05-27,420,126,2015-03-10,270,192,2014-04-28,7104,1432,2015-02-09,512,202,2015-01-15,496,0,2015-03-17,76,50,2014-05-30,6,10,2015-01-05,136,110,2015-02-11,950,3494,2014-11-21,2428,2506,2015-01-30,3186,1014,2014-02-13,8386,2854,2014-01-24,11466,8016
2014-10-27,6508,16586,2015-03-06,1152,588,2013-12-19,1144,74,2014-10-27,11666,8996,2014-08-27,176,36,2014-05-23,362,120,2015-03-09,322,218,2014-04-25,2036,1500,2015-02-06,392,7090,2015-01-14,82,112,2015-03-16,832,2056,2014-05-29,12,0,2015-01-02,68,152,2015-02-10,532,2282,2014-11-20,1806,1600,2015-01-29,4342,1992,2014-02-12,19046,1426,2014-01-23,8566,1860
2014-10-24,2254,792,2015-03-05,7216,848,2013-12-18,356,450,2014-10-24,7384,5294,2014-08-26,538,92,2014-05-22,758,0,2015-03-06,1056,82,2014-04-24,1284,1288,2015-02-05,1194,3612,2015-01-13,94,6,2015-03-13,88,60,2014-05-28,128,0,2014-12-31,624,0,2015-02-09,444,528,2014-11-19,8402,6420,2015-01-28,1328,126,2014-02-11,15070,2478,2014-01-22,10000,4864
2014-10-23,1162,634,2015-03-04,5398,208,2013-12-17,218,452,2014-10-23,6908,2426,2014-08-25,152,38,2014-05-21,674,110,2015-03-05,350,58,2014-04-23,8018,730,2015-02-04,366,1930,2015-01-12,14,0,2015-03-12,292,500,2014-05-27,94,0,2014-12-30,78,14,2015-02-06,1368,244,2014-11-18,7946,12222,2015-01-27,878,628,2014-02-10,45032,2726,2014-01-21,10682,3452
2014-10-22,9844,3702,2015-03-03,5252,2554,2013-12-16,950,88,2014-10-22,6144,4046,2014-08-22,1168,296,2014-05-20,382,322,2015-03-04,84,136,2014-04-22,3704,2712,2015-02-03,40788,318,2015-01-09,26,4,2015-03-10,572,78,2014-05-23,2,0,2014-12-29,2,2,2015-02-05,830,1292,2014-11-17,3440,2488,2015-01-26,1888,888,2014-02-07,44558,1948,2014-01-17,12524,7176
2014-10-21,2260,2376,2015-03-02,6134,1164,2013-12-13,514,36,2014-10-21,13716,14486,2014-08-21,846,26,2014-05-19,3430,226,2015-03-03,360,260,2014-04-21,2796,6130,2015-02-02,984,276,2015-01-08,26,8,2015-03-09,8,16,2014-05-21,10,20,2014-12-26,128,8,2015-02-04,2560,2698,2014-11-14,324,4414,2015-01-23,1230,1158,2014-02-06,8014,576,2014-01-16,31442,9482
2014-10-20,3418,7128,2015-02-27,3030,2076,2013-12-12,12342,2572,2014-10-20,13450,5530,2014-08-20,892,20,2014-05-16,212,502,2015-03-02,3792,160,2014-04-17,17720,5760,2015-01-30,2022,1324,2015-01-07,10,0,2015-03-06,2,102,2014-05-20,106,82,2014-12-24,44,0,2015-02-03,1736,2778,2014-11-13,2142,356,2015-01-22,344,424,2014-02-05,690,116,2014-01-15,44968,22538
2014-10-17,7542,5306,2015-02-26,494,50,2013-12-11,11108,5264,2014-10-17,16406,16336,2014-08-19,676,260,2014-05-15,244,208,2015-02-27,534,2276,2014-04-16,5746,760,2015-01-29,4114,3232,2015-01-06,2,20,2015-03-05,146,124,2014-05-19,140,28,2014-12-23,532,100,2015-02-02,2032,2438,2014-11-12,204,424,2015-01-21,6072,492,2014-02-04,2288,2218,2014-01-14,80086,22178
2014-10-16,3002,46190,2015-02-25,366,570,2013-12-10,14796,5402,2014-10-16,19500,12570,2014-08-18,2442,242,2014-05-14,538,44,2015-02-26,3242,1952,2014-04-15,7892,12788,2015-01-28,18758,16702,2015-01-05,24,6,2015-03-04,60,72,2014-05-16,260,44,2014-12-22,354,302,2015-01-30,1924,1148,2014-11-11,254,1608,2015-01-20,5188,3106,2014-02-03,1722,4302,2014-01-13,15630,11632
2014-10-15,1510,5190,2015-02-24,5896,3470,2013-12-09,4542,2016,2014-10-15,22868,20934,2014-08-15,4924,804,2014-05-13,88,310,2015-02-25,8794,7852,2014-04-14,5186,16836,2015-01-27,7608,4658,2015-01-02,44,20,2015-03-03,34,1730,2014-05-15,352,0,2014-12-19,380,0,2015-01-29,1300,1822,2014-11-10,226,582,2015-01-16,2324,5952,2014-01-31,5788,962,2014-01-10,13126,3738
2014-10-14,6590,2320,2015-02-23,658,1160,2013-12-06,376,102,2014-10-14,11714,8000,2014-08-14,896,12,2014-05-12,186,238,2015-02-24,212,326,2014-04-11,15254,2852,2015-01-26,3954,4166,2014-12-31,346,30,2015-03-02,8,58,2014-05-13,20,36,2014-12-18,274,42,2015-01-28,6856,788,2014-11-07,7556,1068,2015-01-15,1304,4206,2014-01-30,1808,1140,2014-01-09,3758,5078
2014-10-13,7336,2800,2015-02-20,2920,890,2013-12-05,88,0,2014-10-13,9584,7230,2014-08-13,294,268,2014-05-09,168,244,2015-02-23,48,604,2014-04-10,1526,2456,2015-01-23,250,3784,2014-12-30,26,0,2015-02-27,34,790,2014-05-12,22,54,2014-12-17,128,0,2015-01-27,10652,4874,2014-11-06,468,676,2015-01-14,884,728,2014-01-29,250,274,2014-01-08,17476,18262
2014-10-10,11710,6722,2015-02-19,722,132,2013-12-04,118,50,2014-10-10,25200,9644,2014-08-12,994,814,2014-05-08,158,72,2015-02-20,216,6,2014-04-09,412,1014,2015-01-22,2564,2718,2014-12-29,88,24,2015-02-26,158,50,2014-05-08,66,32,2014-12-16,40992,16410,2015-01-26,5866,1108,2014-11-05,1092,472,2015-01-13,3444,1056,2014-01-28,3190,434,2014-01-07,7944,5806
