2014-04-17,1208,0,723100
2014-04-16,22,12,685800
2014-04-15,104,48,935600
2014-04-14,30,24,1228800
2014-04-11,64,0,1610400
2014-04-10,6,0,1736900
2014-04-09,566,50,862400
2014-04-08,20,0,1179000
2014-04-07,26,0,1371800
2014-04-04,344,24,1276400
2014-04-03,84,20,1430600
